Action	Source IP	Destination IP	Protocol	Reason
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	20.42.72.131	192.168.0.215	6	
Allowed	192.168.0.215	20.42.72.131	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	111.108.51.89	6	
Allowed	111.108.51.89	192.168.0.215	6	
Allowed	111.108.51.89	192.168.0.215	6	
Allowed	192.168.0.215	111.108.51.89	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	192.168.0.215	20.42.65.90	6	
Allowed	20.42.65.90	192.168.0.215	6	
Allowed	20.42.65.90	192.168.0.215	6	
